iter	Logloss
0	0.6662453412
1	0.6428015429
2	0.6137198515
3	0.5872321547
4	0.5646692302
5	0.5467986089
6	0.5264770327
7	0.5060211808
8	0.4850540852
9	0.4648477874
10	0.4482691473
11	0.434166464
12	0.4225296184
13	0.4084005069
14	0.3948378459
15	0.3844344407
16	0.3728720018
17	0.3621951054
18	0.3518403515
19	0.342958085
20	0.3321962314
21	0.3242162529
22	0.3176695551
23	0.3112269646
24	0.30550023
25	0.2982828839
26	0.2921039881
27	0.2856143015
28	0.2803241332
29	0.2755850179
30	0.2702184529
31	0.265828657
32	0.2613227285
33	0.2556166513
34	0.252599519
35	0.2488312304
36	0.2449915011
37	0.2417412157
38	0.2382929977
39	0.2344180879
40	0.2317358456
41	0.2287680536
42	0.2259294089
43	0.223629338
44	0.2206645734
45	0.2180582199
46	0.2162240588
47	0.2141864009
48	0.2122758271
49	0.2097480291
50	0.207522939
51	0.2052260073
52	0.203696491
53	0.2020711092
54	0.2004331714
55	0.1985032454
56	0.1968769971
57	0.195861241
58	0.1944335491
59	0.1927342786
60	0.1909006032
61	0.1906682224
62	0.1892678488
63	0.1869504218
64	0.1856185158
65	0.1840344654
66	0.1833490437
67	0.1818729703
68	0.1808488974
69	0.1796322572
70	0.1783814217
71	0.1770104857
72	0.1760197838
73	0.1749052933
74	0.1736220297
75	0.17275947
76	0.1722040685
77	0.1719811149
78	0.1713837145
79	0.1706786839
80	0.1698412447
81	0.169080241
82	0.1679340714
83	0.1674254121
84	0.1667379186
85	0.1660819697
86	0.1653583646
87	0.1645021267
88	0.1642677102
89	0.1633846558
90	0.1629269173
91	0.162381929
92	0.1622714364
93	0.1615410121
94	0.1610137863
95	0.1606983365
96	0.1603072144
97	0.159626989
98	0.1591506848
99	0.1585206006
