iter	Passed	Remaining
0	59	5880
1	61	2997
2	64	2078
3	67	1630
4	71	1366
5	76	1201
6	79	1057
7	82	946
8	85	863
9	88	799
10	92	746
11	95	698
12	97	652
13	101	622
14	103	588
15	106	560
16	109	536
17	112	512
18	114	490
19	116	467
20	120	451
21	123	439
22	126	422
23	128	407
24	130	392
25	133	380
26	136	369
27	138	357
28	143	352
29	146	341
30	148	331
31	151	321
32	154	313
33	156	304
34	159	296
35	162	288
36	164	280
37	167	273
38	171	268
39	174	261
40	176	254
41	179	247
42	185	245
43	186	237
44	190	233
45	193	226
46	196	221
47	198	215
48	201	209
49	204	204
50	208	199
51	210	194
52	213	189
53	215	183
54	218	179
55	222	174
56	224	169
57	229	165
58	231	160
59	234	156
60	240	153
61	241	148
62	245	144
63	248	139
64	251	135
65	254	130
66	257	126
67	259	122
68	261	117
69	265	113
70	268	109
71	270	105
72	274	101
73	277	97
74	280	93
75	282	89
76	287	85
77	290	81
78	292	77
79	295	73
80	307	72
81	310	68
82	314	64
83	317	60
84	320	56
85	323	52
86	325	48
87	328	44
88	332	41
89	335	37
90	338	33
91	341	29
92	342	25
93	344	22
94	347	18
95	350	14
96	353	10
97	356	7
98	359	3
99	362	0
